tripid,bikeid,starttime,stoptime,tripduration,O_id,O_name,O_lat,O_lon,D_id,D_name,D_lat,D_lon,usertype,gender,birth
7646,4627,53326,53683,357.0,282,Halsted St & Maxwell St,41.864883,-87.647071,109,900 W Harrison St,41.874754,-87.649807,Customer,,
7647,880,53330,54332,"1,002.0",127,Lincoln Ave & Fullerton Ave,41.925905,-87.64926,232,Pine Grove Ave & Waveland Ave,41.949275,-87.646303,Subscriber,Male,1992
7648,2964,53334,54052,718.0,177,Theater on the Lake,41.926277,-87.630834,268,Lake Shore Dr & North Blvd,41.911722,-87.626804,Customer,,
7649,1733,53335,54131,796.0,110,Dearborn St & Erie St,41.893992,-87.629318,126,Clark St & North Ave,41.911974,-87.631942,Subscriber,Male,1974
7650,3631,53341,60881,"7,540.0",268,Lake Shore Dr & North Blvd,41.911722,-87.626804,43,Michigan Ave & Washington St,41.883892766,-87.624649141,Customer,,
7651,1014,53341,54750,"1,409.0",76,Lake Shore Dr & Monroe St,41.880958,-87.616743,35,Streeter Dr & Grand Ave,41.892278,-87.612043,Customer,,
7652,5305,53343,55720,"2,377.0",141,Clark St & Lincoln Ave,41.915689,-87.6346,54,Ogden Ave & Chicago Ave,41.896362458,-87.654061273,Subscriber,Male,1989
7653,579,53348,53870,522.0,232,Pine Grove Ave & Waveland Ave,41.949275,-87.646303,318,Southport Ave & Irving Park Rd,41.954177,-87.664358,Subscriber,Female,1993
7654,2270,53354,54026,672.0,177,Theater on the Lake,41.926277,-87.630834,268,Lake Shore Dr & North Blvd,41.911722,-87.626804,Customer,,
7655,1042,53354,54670,"1,316.0",466,Ridge Blvd & Touhy Ave,42.012132277,-87.682912644,458,Broadway & Thorndale Ave,41.989742511,-87.660140621,Subscriber,Female,1995
7656,3662,53356,55644,"2,288.0",246,Ashland Ave & Belle Plaine Ave,41.956057,-87.668835,177,Theater on the Lake,41.926277,-87.630834,Subscriber,Female,1983
7657,1955,53364,55390,"2,026.0",114,Sheffield Ave & Waveland Ave,41.949399,-87.654529,114,Sheffield Ave & Waveland Ave,41.949399,-87.654529,Customer,,
7658,2571,53368,55635,"2,267.0",246,Ashland Ave & Belle Plaine Ave,41.956057,-87.668835,177,Theater on the Lake,41.926277,-87.630834,Subscriber,Male,1983
7659,804,53371,54762,"1,391.0",76,Lake Shore Dr & Monroe St,41.880958,-87.616743,35,Streeter Dr & Grand Ave,41.892278,-87.612043,Customer,,
7660,1030,53375,53737,362.0,35,Streeter Dr & Grand Ave,41.892278,-87.612043,211,St. Clair St & Erie St,41.894448,-87.622663,Subscriber,Female,1972
7661,2098,53379,62456,"9,077.0",463,Clark St & Berwyn Ave,41.977996654,-87.668047105,76,Lake Shore Dr & Monroe St,41.880958,-87.616743,Customer,,
7662,6468,53378,54036,658.0,339,Emerald Ave & 31st St,41.838198,-87.645143,272,Indiana Ave & 31st St,41.838842,-87.621857,Subscriber,Female,1995
7663,6122,53387,53822,435.0,17,Honore St & Division St,41.903119,-87.673935,216,California Ave & Division St,41.903029,-87.697474,Subscriber,Male,1979
7664,212,53390,53592,202.0,195,Columbus Dr & Randolph St,41.884728,-87.619521,44,State St & Randolph St,41.884730201,-87.627733569,Subscriber,Male,1992
7665,2076,53387,54069,682.0,392,Perry Ave & 69th St,41.76929309,-87.628195929,393,Calumet Ave & 71st St,41.765508006,-87.616917925,Customer,,
7666,1062,53401,58372,"4,971.0",35,Streeter Dr & Grand Ave,41.892278,-87.612043,199,Wabash Ave & Grand Ave,41.891466,-87.626761,Customer,,
7667,5304,53401,55383,"1,982.0",114,Sheffield Ave & Waveland Ave,41.949399,-87.654529,114,Sheffield Ave & Waveland Ave,41.949399,-87.654529,Customer,,
7668,6243,53405,54802,"1,397.0",603,Chicago Ave & Sheridan Rd,42.050491,-87.677821,603,Chicago Ave & Sheridan Rd,42.050491,-87.677821,Customer,Male,1981
7669,2083,53407,54229,822.0,157,Lake Shore Dr & Wellington Ave,41.936669,-87.636794,229,Southport Ave & Roscoe St,41.943739,-87.66402,Subscriber,Male,1980
7670,1692,53417,55050,"1,633.0",509,Troy St & North Ave,41.909769302,-87.705280487,509,Troy St & North Ave,41.909769302,-87.705280487,Customer,Male,1986
7671,6095,53421,54497,"1,076.0",35,Streeter Dr & Grand Ave,41.892278,-87.612043,90,Millennium Park,41.8810317,-87.62408432,Customer,Female,1992
7672,5625,53422,54497,"1,075.0",35,Streeter Dr & Grand Ave,41.892278,-87.612043,90,Millennium Park,41.8810317,-87.62408432,Customer,Female,1990
